Town,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles
Hampton,"9,072.73",14.18,"8,804.74",13.76,267.99,0.42
Hampton Falls,"8,077.97",12.62,"7,926.42",12.39,151.55,0.24
Kensington,"7,667.77",11.98,"7,667.77",11.98,0,0
Kingston,"13,450.20",21.02,"12,704.20",19.85,746,1.17
Londonderry,"26,958.13",42.12,"26,897.87",42.03,60.26,0.09
New Castle,"1,347.61",2.11,521.17,0.81,826.44,1.29
Newfields,"4,646.71",7.26,"4,540.46",7.09,106.25,0.17
Newington,"7,916.73",12.37,"5,273.70",8.24,"2,643.03",4.13
Newmarket,"9,080.31",14.19,"8,042.25",12.57,"1,038.06",1.62
Newton,"6,364.91",9.95,"6,294.35",9.83,70.56,0.11
North Hampton,"8,922.81",13.94,"8,913.56",13.93,9.25,0.01
Northwood,"19,356.88",30.25,"18,002.62",28.13,"1,354.26",2.12
Nottingham,"30,996.56",48.43,"29,775.79",46.52,"1,220.76",1.91
Plaistow,"6,789.60",10.61,"6,789.60",10.61,-0.01,0
Portsmouth,"10,763.36",16.82,"10,033.92",15.68,729.44,1.14
Raymond,"18,943.48",29.6,"18,440.14",28.81,503.34,0.79
Rye,"8,425.59",13.16,"8,090.96",12.64,334.62,0.52
Salem,"16,569.31",25.89,"15,876.66",24.81,692.65,1.08
Sandown,"9,231.77",14.42,"8,952.21",13.99,279.56,0.44
Seabrook,"6,161.28",9.63,"5,759.74",9,401.54,0.63
South Hampton,"5,146.58",8.04,"5,063.00",7.91,83.59,0.13
Stratham,"9,901.55",15.47,"9,679.39",15.12,222.16,0.35
Windham,"17,772.33",27.77,"17,101.99",26.72,670.34,1.05
Barrington,"31,117.17",48.62,"29,886.99",46.7,"1,230.18",1.92
Dover,"18,592.05",29.05,"17,113.07",26.74,"1,478.98",2.31
Durham,"15,852.21",24.77,"14,338.00",22.4,"1,514.21",2.37
Farmington,"23,639.88",36.94,"23,368.36",36.51,271.52,0.42
Lee,"12,927.24",20.2,"12,788.37",19.98,138.87,0.22
Madbury,"7,799.04",12.19,"7,390.17",11.55,408.87,0.64
Middleton,"11,842.95",18.5,"11,568.37",18.08,274.59,0.43
Milton,"21,935.83",34.27,"21,159.76",33.06,776.07,1.21
New Durham,"28,053.83",43.83,"26,487.99",41.39,"1,565.84",2.45
Rochester,"29,080.55",45.44,"28,688.06",44.83,392.49,0.61
Rollinsford,"4,842.77",7.57,"4,680.07",7.31,162.7,0.25
Somersworth,"6,398.29",10,"6,280.89",9.81,117.4,0.18
Strafford,"32,778.81",51.22,"31,342.78",48.97,"1,436.03",2.24
Acworth,"24,998.94",39.06,"24,916.99",38.93,81.95,0.13
Charlestown,"24,345.46",38.04,"22,927.95",35.82,"1,417.51",2.21
Claremont,"28,193.00",44.05,"27,615.91",43.15,577.1,0.9
Cornish,"27,269.70",42.61,"26,855.14",41.96,414.56,0.65
Croydon,"24,028.77",37.54,"23,554.03",36.8,474.74,0.74
Goshen,"14,420.00",22.53,"14,364.03",22.44,55.97,0.09
Grantham,"17,950.88",28.05,"17,402.25",27.19,548.63,0.86
Langdon,"10,446.09",16.32,"10,443.68",16.32,2.41,0
Lempster,"20,956.23",32.74,"20,689.22",32.33,267.01,0.42
Newport,"27,930.33",43.64,"27,855.05",43.52,75.28,0.12
Plainfield,"33,914.30",52.99,"33,417.72",52.22,496.58,0.78
Springfield,"28,478.79",44.5,"27,914.60",43.62,564.19,0.88
Sunapee,"16,099.13",25.15,"13,484.22",21.07,"2,614.92",4.09
Unity,"23,806.31",37.2,"23,657.16",36.96,149.15,0.23
Washington,"30,524.01",47.69,"29,121.20",45.5,"1,402.81",2.19
