Town,County,Trump,Biden,Other,Perc_Trump,Perc_Biden,Winner,wr_Biden,wr_Trump,population,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles,Income,zip_code,pop_density
Epping,Rockingham,2311.0,2047.0,79.0,0.5302891234511243,0.4697108765488756,Trump,,1.1289692232535418,7036.0,"16,775.61",26.21,"16,690.30",26.08,85.31,0.13,73872.0,03042,269.7852760736196
Epsom,Merrimack,1702.0,1180.0,45.0,0.5905621096460791,0.40943789035392086,Trump,,1.4423728813559322,4767.0,"22,152.73",34.61,"22,066.77",34.48,85.96,0.13,67008.0,03234,138.25406032482599
Errol,Coos,144.0,71.0,1.0,0.6697674418604651,0.3302325581395349,Trump,,2.028169014084507,265.0,"44,443.02",69.44,"38,930.20",60.83,"5,512.81",8.61,42750.0,03579,4.356403090580306
Exeter,Rockingham,3321.0,6820.0,148.0,0.32748249679518787,0.6725175032048122,Biden,2.0535983137609155,,15313.0,"12,812.88",20.02,"12,644.78",19.76,168.1,0.26,74353.0,03833,774.9493927125505
Farmington,Strafford,2000.0,1365.0,68.0,0.5943536404160475,0.40564635958395245,Trump,,1.465201465201465,6973.0,"23,639.88",36.94,"23,368.36",36.51,271.52,0.42,60562.0,03835,190.98877019994524
Fitzwilliam,Cheshire,682.0,666.0,19.0,0.5059347181008902,0.4940652818991098,Trump,,1.024024024024024,2371.0,"23,059.76",36.03,"22,158.30",34.62,901.47,1.41,51638.0,03447,68.48642403235125
Francestown,Hillsborough,534.0,592.0,26.0,0.47424511545293074,0.5257548845470693,Biden,1.1086142322097379,,1583.0,"19,442.05",30.38,"19,102.58",29.85,339.47,0.53,92333.0,03043,53.03182579564489
Franconia,Grafton,248.0,542.0,11.0,0.3139240506329114,0.6860759493670886,Biden,2.185483870967742,,1105.0,"42,124.06",65.82,"42,073.07",65.74,50.99,0.08,68750.0,03580,16.808640097353212
Franklin,Merrimack,2281.0,1804.0,68.0,0.5583843329253366,0.4416156670746634,Trump,,1.2644124168514412,8686.0,"18,661.57",29.16,"17,708.91",27.67,952.66,1.49,48398.0,03235,313.91398626671486
Freedom,Carroll,538.0,538.0,14.0,0.5,0.5,Biden,1.0,,1583.0,"24,261.94",37.91,"22,077.18",34.5,"2,184.77",3.41,59330.0,03836,45.88405797101449
Fremont,Rockingham,1635.0,1151.0,53.0,0.5868628858578607,0.4131371141421393,Trump,,1.420503909643788,4710.0,"11,142.36",17.41,"11,043.20",17.26,99.16,0.15,90709.0,03044,272.8852838933951
Gilford,Belknap,2748.0,2508.0,57.0,0.5228310502283106,0.4771689497716895,Trump,,1.0956937799043063,7233.0,"34,243.66",53.51,"24,826.75",38.79,"9,416.90",14.71,73660.0,03249,186.46558391337973
Gilmanton,Belknap,1423.0,1020.0,35.0,0.582480556692591,0.4175194433074089,Trump,,1.3950980392156862,3773.0,"38,127.14",59.57,"36,891.37",57.64,"1,235.77",1.93,69688.0,03237,65.45801526717557
Gilsum,Cheshire,263.0,240.0,13.0,0.5228628230616302,0.47713717693836977,Trump,,1.0958333333333334,804.0,"10,681.86",16.69,"10,668.06",16.67,13.8,0.02,59750.0,03448,48.230353929214154
Goffstown,Hillsborough,5040.0,4967.0,183.0,0.5036474467872489,0.49635255321275107,Trump,,1.0146970002013287,18053.0,"24,064.53",37.6,"23,771.75",37.14,292.78,0.46,81842.0,03045,486.0796984383414
Gorham,Coos,748.0,904.0,29.0,0.45278450363196127,0.5472154963680388,Biden,1.2085561497326203,,2611.0,"20,675.49",32.31,"20,414.69",31.9,260.79,0.41,57107.0,03581,81.84952978056427
Goshen,Sullivan,284.0,186.0,11.0,0.6042553191489362,0.39574468085106385,Trump,,1.5268817204301075,810.0,"14,420.00",22.53,"14,364.03",22.44,55.97,0.09,60417.0,03752,36.096256684491976
Grafton,Grafton,423.0,345.0,16.0,0.55078125,0.44921875,Trump,,1.2260869565217392,1329.0,"27,138.96",42.4,"26,626.11",41.6,512.85,0.8,54000.0,03240,31.947115384615383
Grantham,Sullivan,747.0,1669.0,31.0,0.3091887417218543,0.6908112582781457,Biden,2.2342704149933064,,2945.0,"17,950.88",28.05,"17,402.25",27.19,548.63,0.86,104962.0,03753,108.31187936741449
Greenfield,Hillsborough,466.0,529.0,15.0,0.46834170854271356,0.5316582914572864,Biden,1.1351931330472103,,1847.0,"17,303.38",27.04,"16,950.94",26.49,352.44,0.55,71429.0,03047,69.72442431106079
Greenland,Rockingham,1160.0,1723.0,36.0,0.4023586541796739,0.597641345820326,Biden,1.485344827586207,,4120.0,"8,523.83",13.32,"6,745.77",10.54,"1,778.06",2.78,105609.0,03840,390.89184060721067
Greenville,Hillsborough,532.0,501.0,21.0,0.5150048402710552,0.4849951597289448,Trump,,1.06187624750499,2110.0,"4,401.84",6.88,"4,401.84",6.88,0,0.0,57667.0,03048,306.6860465116279
