Town,County,Trump,Biden,Other,Perc_Trump,Perc_Biden,Winner,wr_Biden,wr_Trump,population,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles,Income,zip_code,pop_density
Unity,Sullivan,531.0,335.0,26.0,0.6131639722863741,0.38683602771362585,Trump,,1.5850746268656717,1620.0,"23,806.31",37.2,"23,657.16",36.96,149.15,0.23,66458.0,03603,43.83116883116883
Unity,Sullivan,531.0,335.0,26.0,0.6131639722863741,0.38683602771362585,Trump,,1.5850746268656717,1620.0,"23,806.31",37.2,"23,657.16",36.96,149.15,0.23,66458.0,03743,43.83116883116883
Unity,Sullivan,531.0,335.0,26.0,0.6131639722863741,0.38683602771362585,Trump,,1.5850746268656717,1620.0,"23,806.31",37.2,"23,657.16",36.96,149.15,0.23,66458.0,03773,43.83116883116883
Wakefield,Carroll,1986.0,1240.0,44.0,0.615623062616243,0.384376937383757,Trump,,1.6016129032258064,5110.0,"28,717.08",44.87,"25,297.02",39.53,"3,420.06",5.34,56291.0,03830,129.2689096888439
Walpole,Cheshire,834.0,1470.0,43.0,0.3619791666666667,0.6380208333333334,Biden,1.7625899280575539,,4009.0,"23,469.47",36.67,"22,833.91",35.68,635.55,0.99,70991.0,03608,112.35986547085201
Warner,Merrimack,844.0,1050.0,34.0,0.44561774023231254,0.5543822597676874,Biden,1.2440758293838863,,2920.0,"35,502.02",55.47,"35,352.34",55.24,149.68,0.23,75195.0,03278,52.86024619840695
Warren,Grafton,275.0,189.0,14.0,0.5926724137931034,0.4073275862068966,Trump,,1.4550264550264551,936.0,"31,355.95",48.99,"31,109.92",48.61,246.03,0.38,47188.0,03279,19.25529726393746
Washington,Sullivan,467.0,314.0,16.0,0.5979513444302177,0.4020486555697823,Trump,,1.4872611464968153,1103.0,"30,524.01",47.69,"29,121.20",45.5,"1,402.81",2.19,73333.0,03280,24.24175824175824
Waterville Valley,Grafton,127.0,238.0,4.0,0.34794520547945207,0.6520547945205479,Biden,1.874015748031496,,241.0,"41,248.05",64.45,"41,231.61",64.42,16.44,0.03,98125.0,03215,3.7410742005588324
Weare,Hillsborough,3213.0,2211.0,97.0,0.5923672566371682,0.40763274336283184,Trump,,1.4531886024423337,9091.0,"38,463.50",60.1,"37,795.45",59.06,668.05,1.04,90024.0,03281,153.92820860142228
Webster,Merrimack,669.0,548.0,24.0,0.5497124075595727,0.45028759244042726,Trump,,1.2208029197080292,1954.0,"18,425.77",28.79,"18,089.45",28.26,336.32,0.53,74750.0,03303,69.14366595895258
Wentworth,Grafton,323.0,280.0,13.0,0.5356550580431177,0.46434494195688225,Trump,,1.1535714285714285,966.0,"26,963.82",42.13,"26,777.82",41.84,186,0.29,62955.0,03282,23.08795411089866
Westmoreland,Cheshire,453.0,660.0,20.0,0.40700808625336926,0.5929919137466307,Biden,1.4569536423841059,,1688.0,"23,577.46",36.84,"22,986.87",35.92,590.59,0.92,90500.0,03467,46.99331848552338
Whitefield,Coos,669.0,631.0,21.0,0.5146153846153846,0.48538461538461536,Trump,,1.0602218700475436,2211.0,"22,231.93",34.74,"21,949.67",34.3,282.25,0.44,36176.0,03598,64.46064139941691
Wilmot,Merrimack,366.0,583.0,7.0,0.3856691253951528,0.6143308746048473,Biden,1.592896174863388,,1392.0,"18,955.38",29.62,"18,819.19",29.4,136.19,0.21,65066.0,03287,47.3469387755102
Wilton,Hillsborough,1090.0,1330.0,53.0,0.45041322314049587,0.5495867768595041,Biden,1.2201834862385321,,3789.0,"16,447.27",25.7,"16,389.56",25.61,57.71,0.09,74162.0,03086,147.95001952362358
Winchester,Cheshire,988.0,986.0,45.0,0.5005065856129686,0.49949341438703143,Trump,,1.002028397565923,4226.0,"35,555.65",55.56,"35,183.98",54.97,371.67,0.58,49578.0,03470,76.87829725304712
Windham,Rockingham,5196.0,4567.0,137.0,0.5322134589777733,0.4677865410222268,Trump,,1.1377271731990366,14853.0,"17,772.33",27.77,"17,101.99",26.72,670.34,1.05,117468.0,03087,555.875748502994
Windsor,Hillsborough,91.0,33.0,5.0,0.7338709677419355,0.2661290322580645,Trump,,2.757575757575758,231.0,"5,450.56",8.52,"5,278.69",8.25,171.87,0.27,59167.0,03244,28.0
Wolfeboro,Carroll,2371.0,2355.0,51.0,0.5016927634363098,0.49830723656369025,Trump,,1.0067940552016985,6418.0,"37,405.53",58.45,"30,940.30",48.34,"6,465.23",10.1,50907.0,03894,132.76789408357467
Woodstock,Grafton,364.0,480.0,14.0,0.4312796208530806,0.5687203791469194,Biden,1.3186813186813187,,1365.0,"37,752.04",58.99,"37,434.57",58.49,317.47,0.5,52845.0,03293,23.337322619251154
